Date	CrawlDate	PostedDate	Company	Country	Type	Title	URL	Score	Keywords	Locations	Matched	Decision
2026-06-02	2026-06-02		Grob Aircraft	Germany	Job	Flight Dynamics Modelling Engineer (m/f/x) - CA-1 Europa - Grob Aircraft SE	https://jobs.grob-aircraft.com/jobs/7662535-flight-dynamics-modelling-engineer-m-f-x-ca-1-europa	125	CFD, Simulation, Aerodynamics, Design		True	Matched
2026-06-02	2026-06-02		Simtecto	Germany	Job	Jobs / Karriere - Simtecto	https://www.simtecto.de/jobs-karriere.html	110	CFD, Simulation, OpenFOAM, ANSYS	UK	True	Matched
2026-06-02	2026-06-02		Simtecto	Germany	Job	Jobs / Karriere - Simtecto	https://www.simtecto.de/jobs-karriere.html#skipNavigation253	110	CFD, Simulation, OpenFOAM, ANSYS	UK	True	Matched
2026-06-02	2026-06-02		Simtecto	Germany	Job	Jobs / Karriere - Simtecto	https://www.simtecto.de/jobs-karriere.html#skipNavigation254	110	CFD, Simulation, OpenFOAM, ANSYS	UK	True	Matched
2026-06-02	2026-06-02		Grob Aircraft	Germany	Job	Simulation Flight Model Developer (m/f/x) - Grob Aircraft SE	https://jobs.grob-aircraft.com/jobs/7814453-simulation-flight-model-developer-m-f-x	105	Simulation, Aerodynamics, Design	Germany	True	Matched
2026-06-02	2026-06-02		AIP Services	Germany	Job	Jobs: Design-Ingenieur_in im LHT-Entwicklungsbetrieb (m/w/d) Lufthansa Technik in Hamburg | Aviation Industry Personnel SERVICES GmbH	https://k21840.coveto.de/job-design-ingenieur-in-im-lht-entwicklungsbetrieb-m-w-d-lufthansa-technik-hamburg-14127.html	95	CFD, Berechnung, ANSYS, Design	UK	True	Matched
2026-06-02	2026-06-02		Ziehl	Germany	Job	Entwicklungsingenieur (m/w/d)	https://karriere.ziehl-abegg.de/detail/job/69ce66e0bf5ebf7c8729dac9	80	CFD, Simulation	UK	True	Matched
2026-06-02	2026-06-02		Everllence	Germany	Job	everllence - Stellen	https://jobs.everllence.com/search/?createNewAlert=false&q=&optionsFacetsDD_city=&optionsFacetsDD_customfield1=&optionsFacetsDD_customfield2=	80	CFD, Simulation	UK	True	Matched
2026-06-02	2026-06-02		Everllence	Germany	Job	everllence - Stellen	https://jobs.everllence.com/search/	80	CFD, Simulation	UK	True	Matched
2026-06-02	2026-06-02		Helsing	Germany	Job	Jobs – Helsing	https://helsing.ai/jobs	60	Simulation, Simulation Engineer, Research Engineer, Design	UK	True	Matched
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Jobs at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag	60	Simulation, Simulation Engineer, Design	Germany, UK	True	Matched
2026-06-02	2026-06-02		liebherr	Germany	Job	Research and development jobs	https://www.liebherr.com/en-int/careers/professionals/research-and-development-5370622	55	Simulation, Design		True	Matched
2026-06-02	2026-06-02		Grob Aircraft	Germany	Job	Startseite - Grob Aircraft SE	https://jobs.grob-aircraft.com/	45	Simulation, Design	Germany, UK	True	Matched
2026-06-02	2026-06-02		Siemens	Germany	Job	Job Search | Careers Marketplace - Siemens	https://jobs.siemens.com/en_US/externaljobs/SearchJobs/?42386=%5B812132%5D&42386_format=17546&42389=%5B39106405%2C144468627%2C102122%2C102134%2C102127%5D&42389_format=17549&42390=%5B102155%2C102156%2C102157%2C102158%5D&42390_format=17550&listFilterMode=1&folderRecordsPerPage=6&folderOffset=12	45	CFD, Design	Germany	True	Matched
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Avionics Engineer - Design (m/f/d) at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4828814101	45	Simulation, Design	Germany, UK	True	Matched
2026-06-02	2026-06-02		Kelvion	Germany	Job	Detail | Kelvion	https://www.kelvion.com/de/karriere/jobs/detail/konstrukteurin-konstruktionstechnikerin	45	Berechnung, Design	Germany, UK	True	Matched
2026-06-02	2026-06-02		Rocket Factory	Germany	Job	Job Application for Propulsion Test Technician at Rocket Factory Augsburg AG	https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4833743101	45	Fluid, Design	Germany, UK	True	Matched
