Date	CrawlDate	PostedDate	Company	Country	Type	Title	URL	Score	Keywords	Locations	Matched	Decision
2026-06-02	2026-06-02	2026-05-25	MTU	Germany	Job	Inspector of aircraft engine parts (all genders) - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/inspector-of-aircraft-engine-parts-all-genders/	10		Germany	False	Below threshold
2026-06-02	2026-06-02	2026-05-25	MTU	Germany	Job	Manual Worker C - Welder (all genders) - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/manual-worker-c-welder-all-genders/	10		Germany	False	Below threshold
2026-06-02	2026-06-02	2026-05-25	MTU	Germany	Job	Invoicing Specialist (W/M) - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/invoicing-specialist-w/m/	5	Design		False	Below threshold
2026-06-02	2026-06-02	2026-05-19	MTU	Germany	Job	L2 NDT Inspector (All genders) - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/l2-ndt-inspector-all-genders/	10		Germany	False	Below threshold
2026-06-02	2026-06-02	2026-05-18	MTU	Germany	Job	Manager Repair Line (all genders) - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/manager-repair-line-all-genders/	10		Germany	False	Below threshold
2026-06-02	2026-06-02	2026-05-15	MTU	Germany	Job	Painter - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/painter/	10		Germany	False	Below threshold
2026-06-02	2026-06-02	2026-05-13	MTU	Germany	Job	Quality Inspector (all genders) - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/quality-inspector-all-genders/	10		Germany	False	Below threshold
2026-06-02	2026-06-02	2026-05-13	MTU	Germany	Job	Peen and HPWJ machine operator - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/peen-and-hpwj-machine-operator/	0			False	Below threshold
	2026-06-02	2026-05-13	MTU	Germany	Job	Quality Systems and Administration Intern (all genders) - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/quality-systems-and-administration-intern-all-genders/	0			False	Skipped noise
	2026-06-02	2026-05-12	MTU	Germany	Job	Intern Digital Method Development and Data Engineering (all genders) - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/intern-digital-method-development-and-data-engineering-all-genders/	0			False	Skipped noise
2026-06-02	2026-06-02	2026-05-08	MTU	Germany	Job	Master Thesis: Oil Condition Monitoring - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/master-thesis-oil-condition-monitoring/	25	Fluid		False	Below threshold
	2026-06-02	2026-05-08	MTU	Germany	Job	Intern Graphical user interface development for mechanical predesign calculations (all genders) - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/intern-graphical-user-interface-development-for-mechanical-predesign-calculations-all-genders/	5	Design		False	Skipped noise
2026-06-02	2026-06-02	2026-05-06	MTU	Germany	Job	Flying Fuel Cell Mechanical Design and Integration Engineer (all genders) - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/flying-fuel-cell-mechanical-design-and-integration-engineer-all-genders/	5	Design		False	Below threshold
