Date	CrawlDate	PostedDate	Company	Country	Type	Title	URL	Score	Keywords	Locations	Matched	Decision
2026-06-09	2026-06-09	2026-06-09	TechnicFMC	Poland	Job	Principal Installation Engineer Job Details | TechnipFMC	https://careers.technipfmc.com/job/Kuala-Lumpur-Principal-Installation-Engineer/1389678100/	5	Design		False	Below threshold
2026-06-09	2026-06-09	2026-06-09	TechnicFMC	Poland	Job	Senior HSE Management System & Compliance Specialist / Engineer Job Details | TechnipFMC	https://careers.technipfmc.com/job/Dunfermline-Senior-HSE-Management-System-&-Compliance-Specialist-Engineer/1369477900/	0			False	Below threshold
2026-06-09	2026-06-09	2026-06-09	TechnicFMC	Poland	Job	Finance Analyst I Job Details | TechnipFMC	https://careers.technipfmc.com/job/Hyderabad-Finance-Analyst-I/1397942800/	0			False	Below threshold
2026-06-09	2026-06-09	2026-06-09	TechnicFMC	Poland	Job	TestOps Engineer - QA Job Details | TechnipFMC	https://careers.technipfmc.com/job/Rio-de-Janeiro-TestOps-Engineer-QA/1348037500/	0			False	Below threshold
2026-06-09	2026-06-09	2026-06-08	TechnicFMC	Poland	Job	Life of Field Engineer (UAE National) Job Details | TechnipFMC	https://careers.technipfmc.com/job/Abu-Dhabi-Life-of-Field-Engineer-%28UAE-National%29/1397541500/	5	Design		False	Below threshold
2026-06-09	2026-06-09	2026-06-08	TechnicFMC	Poland	Job	Senior TestOps Engineer Job Details | TechnipFMC	https://careers.technipfmc.com/job/Krakow-Senior-TestOps-Engineer/1397520400/	5	Design		False	Below threshold
2026-06-09	2026-06-09	2026-06-08	TechnicFMC	Poland	Job	Technical Recruiter Job Details | TechnipFMC	https://careers.technipfmc.com/job/Houston-Technical-Recruiter-TX-77001/1397753900/	0			False	Below threshold
2026-06-09	2026-06-09	2026-06-08	TechnicFMC	Poland	Job	HR SPECIALIST - APME P&C SHARED SERVICES Job Details | TechnipFMC	https://careers.technipfmc.com/job/Noida-HR-SPECIALIST-APME-P&C-SHARED-SERVICES/1397540300/	0			False	Below threshold
2026-06-09	2026-06-09	2026-06-08	TechnicFMC	Poland	Job	Senior Executive-AP Job Details | TechnipFMC	https://careers.technipfmc.com/job/Noida-Senior-Executive-AP/1397516800/	0			False	Below threshold
	2026-06-09	2026-06-08	TechnicFMC	Poland	Job	Machining Intern Job Details | TechnipFMC	https://careers.technipfmc.com/job/Nusajaya-Machining-Intern/1397530300/	0			False	Skipped noise
	2026-06-09	2026-06-08	TechnicFMC	Poland	Job	Welding Intern Job Details | TechnipFMC	https://careers.technipfmc.com/job/Nusajaya-Welding-Intern/1397528000/	0			False	Skipped noise
2026-06-09	2026-06-09	2026-06-08	TechnicFMC	Poland	Job	Field Service Technician I Job Details | TechnipFMC	https://careers.technipfmc.com/job/Villahermosa-Field-Service-Technician-I/1397650100/	0			False	Below threshold
2026-06-09	2026-06-09	2026-06-08	TechnicFMC	Poland	Job	Assembly & Test Technician 1 Job Details | TechnipFMC	https://careers.technipfmc.com/job/Nusajaya-Assembly-&-Test-Technician-1/1397535300/	-15			False	Below threshold
2026-06-09	2026-06-09	2026-06-07	TechnicFMC	Poland	Job	Buyer Job Details | TechnipFMC	https://careers.technipfmc.com/job/Davis-Buyer-CA-95616/1362925200/	5	Design		False	Below threshold
2026-06-09	2026-06-09	2026-06-07	TechnicFMC	Poland	Job	Controls Integration Senior Analyst Job Details | TechnipFMC	https://careers.technipfmc.com/job/Houston-Controls-Integration-Senior-Analyst-TX-77001/1372733600/	5	Design		False	Below threshold
2026-06-09	2026-06-09	2026-06-07	TechnicFMC	Poland	Job	Engineering Team Lead-Flexibles Job Details | TechnipFMC	https://careers.technipfmc.com/job/Hyderabad-Engineering-Team-Lead-Flexibles/1342214200/	5	Design		False	Below threshold
2026-06-09	2026-06-09	2026-06-07	TechnicFMC	Poland	Job	Executive-L&D Job Details | TechnipFMC	https://careers.technipfmc.com/job/Noida-Executive-L&D/1381209100/	0			False	Below threshold
2026-06-09	2026-06-09	2026-06-07	TechnicFMC	Poland	Job	Warehouse Manager Job Details | TechnipFMC	https://careers.technipfmc.com/job/Nusajaya-Warehouse-Manager/1363875500/	-15			False	Below threshold
2026-06-09	2026-06-09	2026-06-06	TechnicFMC	Poland	Job	Field Service Technician Job Details | TechnipFMC	https://careers.technipfmc.com/job/Nieuw-Amsterdam-Field-Service-Technician/1380842600/	10	Design	Netherland, England	False	Below threshold
2026-06-09	2026-06-09	2026-06-06	TechnicFMC	Poland	Job	Engineer II - Seal Technology Job Details | TechnipFMC	https://careers.technipfmc.com/job/Hyderabad-Engineer-II-Seal-Technology/1380825900/	5	Design		False	Below threshold
2026-06-09	2026-06-09	2026-06-06	TechnicFMC	Poland	Job	Lead Full-stack Developer Job Details | TechnipFMC	https://careers.technipfmc.com/job/Krakow-Lead-Full-stack-Developer/1372129400/	5	Design		False	Below threshold
2026-06-09	2026-06-09	2026-06-06	TechnicFMC	Poland	Job	Tax Manager Job Details | TechnipFMC	https://careers.technipfmc.com/job/Houston-Tax-Manager-TX-77001/1389512300/	0			False	Below threshold
2026-06-09	2026-06-09	2026-06-06	TechnicFMC	Poland	Job	Category Lead Job Details | TechnipFMC	https://careers.technipfmc.com/job/Krakow-Category-Lead/1380819900/	0			False	Below threshold
2026-06-09	2026-06-09	2026-06-06	TechnicFMC	Poland	Job	Lead Analyst-F&A GL Job Details | TechnipFMC	https://careers.technipfmc.com/job/Noida-Lead-Analyst-F&A-GL/1380856100/	0			False	Below threshold
2026-06-09	2026-06-09	2026-06-06	TechnicFMC	Poland	Job	MEDICO TRABALHO - São João da Barra Job Details | TechnipFMC	https://careers.technipfmc.com/job/Sao-Joao-da-Barra-MEDICO-TRABALHO-S%C3%A3o-Jo%C3%A3o-da-Barra/1389316300/	0			False	Below threshold
	2026-06-09	2026-06-05	Agentur fur arbeit	Germany	Job	Wissenschaftliche*r Mitarbeiter*in bei Technische Universität Hamburg	https://www.arbeitsagentur.de/jobsuche/jobdetail/20536-1e9g345of8-S	105	CFD, Entwicklung, Simulation		False	Skipped start site
	2026-06-09	2026-06-04	Agentur fur arbeit	Germany	Job	CFD Software Engineer bei Siemens AG	https://www.arbeitsagentur.de/jobsuche/jobdetail/12465-1583076-1-S	165	CFD, Simulation, Fluid, Aerodynamics, Design		False	Skipped start site
	2026-06-09	2026-06-04	Agentur fur arbeit	Germany	Job	Senior Prozessentwicklungsingenieur - Strömungsmechanik (m/w/d) in Forschung & Entwicklung bei Tesla Automation GmbH	https://www.arbeitsagentur.de/jobsuche/jobdetail/15158-2026272669-S	120	CFD, Entwicklung, Simulation, ANSYS, Design		False	Skipped start site
	2026-06-09	2026-06-03	MTU	Germany	Job	MRO Strategy and Invoice Manager for Partner Programs (all genders) - MTU Aero Engines	https://www.mtu.de/careers/online-job-market/job-posting/mro-strategy-and-invoice-manager-for-partner-programs-all-genders/	0			False	Skipped start site
	2026-06-09	2026-06-01	Agentur fur arbeit	Germany	Job	Design-Ingenieur (m/w/d) Primär- und Sekundärstruktur bei Akkodis Germany Tech Experts GmbH	https://www.arbeitsagentur.de/jobsuche/jobdetail/12634-BB-641105-7878-1567-S	120	CFD, Entwicklung, Berechnung, ANSYS, Design		False	Skipped start site
	2026-06-09	2026-06-01	Agentur fur arbeit	Germany	Job	Design-Ingenieur (m/w/d) Primär- und Sekundärstruktur bei Akkodis Germany Tech Experts GmbH	https://www.arbeitsagentur.de/jobsuche/jobdetail/12634-BB-641105-7878-1695-S	120	CFD, Entwicklung, Berechnung, ANSYS, Design		False	Skipped start site
	2026-06-09	2026-06-01	Agentur fur arbeit	Germany	Job	Design-Ingenieur (m/w/d) Primär- und Sekundärstruktur bei Akkodis Germany Tech Experts GmbH	https://www.arbeitsagentur.de/jobsuche/jobdetail/12634-BB-641105-7878-6089-S	120	CFD, Entwicklung, Berechnung, ANSYS, Design		False	Skipped start site
	2026-06-09	2026-06-01	Agentur fur arbeit	Germany	Job	Simulationsingenieur (m/w/d) bei Hays Professional Solutions GmbH Standort Nürnberg	https://www.arbeitsagentur.de/jobsuche/jobdetail/13319-878685%252F1_611788LS-S	110	CFD, Simulation, Berechnung, ANSYS		False	Skipped start site
	2026-06-09	2026-05-31	Agentur fur arbeit	Germany	Job	Konstrukeur (m/w/d) bei Guldberg GmbH	https://www.arbeitsagentur.de/jobsuche/jobdetail/13410-k13572.15667-S	105	CFD, Entwicklung, Simulation		False	Skipped start site
	2026-06-09	2026-05-29	Agentur fur arbeit	Germany	Job	Simulationsingenieur HGÜ Systeme(all gender) bei ALTEN Consulting Services GmbH Nürnberg	https://www.arbeitsagentur.de/jobsuche/jobdetail/13185-506187-1775258-0-S	110	CFD, Simulation, Berechnung, ANSYS		False	Skipped start site
	2026-06-09	2026-05-29	Agentur fur arbeit	Germany	Job	Konstrukteur (m/w/d) Automatisierungstechnik bei Neumüller Personalberatung Regina Neumüller e.K.	https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003147087-S	105	CFD, Entwicklung, Simulation		False	Skipped start site
	2026-06-09	2026-05-29	Agentur fur arbeit	Germany	Job	Konstruktionsingenieur (m/w/d) Luftfahrt bei univativ GmbH	https://www.arbeitsagentur.de/jobsuche/jobdetail/19924-948631312-S	80	CFD, Entwicklung		False	Skipped start site
	2026-06-09	2026-05-27	Agentur fur arbeit	Germany	Job	Projektingenieur für Anlagen- und Prozesssimulation & CFD (m/w/d) (m/w/d) bei Silicon Products Bitterfeld GmbH	https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003045107-S	230	CFD, Entwicklung, Simulation, Berechnung, Fluid, OpenFOAM, ANSYS, Design		False	Skipped start site
